"","created_time","headline","web_url"
"1",2020-03-15,"A Complete List of Trump’s Attempts to Play Down Coronavirus","https://www.nytimes.com/2020/03/15/opinion/trump-coronavirus.html"
"2",2020-03-06,"As Coronavirus Spreads, How You Can Protect a Family Member in a Nursing Home","https://www.nytimes.com/2020/03/06/us/nursing-home-coronavirus-deaths.html"
"3",2020-03-04,"Nursing Homes Are Starkly Vulnerable to Coronavirus","https://www.nytimes.com/2020/03/04/health/coronavirus-nursing-homes.html"
"4",2020-03-02,"Outbreak Strikes Seattle Area as Testing Is Scrutinized","https://www.nytimes.com/2020/03/02/world/coronavirus-updates-news-covid-19.html"
"5",2020-02-27,"Iran Vice President Is One of 7 Officials to Contract Coronavirus","https://www.nytimes.com/2020/02/27/world/middleeast/coronavirus-iran-vice-president.html"
"6",2020-02-27,"Germany Tries to Solve a Coronavirus Puzzle With ‘Endless Pieces’","https://www.nytimes.com/2020/02/27/world/europe/germany-coronavirus.html"
"7",2020-02-21,"Coronavirus Cases in the United States Reach 34, and More Are Expected","https://www.nytimes.com/2020/02/21/health/coronavirus-cases-usa.html"
"8",2020-02-13,"How the Coronavirus Pandemic Unfolded: a Timeline","https://www.nytimes.com/article/coronavirus-timeline.html"
"9",2020-02-13,"An American in a Locked Down Chinese Town: ‘Everyone Here Is So Bored’","https://www.nytimes.com/2020/02/13/world/asia/china-coronavirus-american.html"
"10",2020-02-11,"The Illness Now Has a Name, COVID-19","https://www.nytimes.com/2020/02/11/world/asia/coronavirus-china.html"
"11",2020-02-03,"Hong Kong Reports First Death From Coronavirus Outbreak","https://www.nytimes.com/2020/02/03/world/asia/coronavirus-china.html"
"12",2020-04-24,"Philippines' Coronavirus Infections Top 7,000","https://www.nytimes.com/reuters/2020/04/24/world/asia/24reuters-health-coronavirus-philippines-cases.html"
"13",2020-04-28,"Philippines Nears 8,000 Coronavirus Infections","https://www.nytimes.com/reuters/2020/04/28/world/asia/28reuters-health-coronavirus-philippines-cases.html"
